Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_EDGE3D,RAJA_HIP,block_256,79507, PASSED     ,0.000291867,10.3132,4496.12,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4496.12,10.3132
Apps_ENERGY,Base_HIP,block_256,417, PASSED     ,1.48404e-05,5.65254,1.54544,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256,6.36619,23.2847
Apps_ENERGY,RAJA_HIP,block_256,417, PASSED     ,9.14306e-06,9.17484,2.50846,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256,10.1188,37.0102
Apps_ENERGY,Base_HIP,block_256,426667, PASSED     ,0.000143185,599.44,163.891,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256,161.6535,591.2570000000001
Apps_ENERGY,RAJA_HIP,block_256,426667, PASSED     ,0.000142085,604.078,165.159,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256,161.60950000000003,591.096
Apps_ENERGY,Base_HIP,block_256,53334, PASSED     ,1.38386e-05,775.295,211.971,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256,157.617,576.491
Apps_ENERGY,RAJA_HIP,block_256,53334, PASSED     ,1.25746e-05,853.224,233.277,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256,157.495,576.046
Apps_ENERGY,Base_HIP,block_256,625000, PASSED     ,0.000209405,600.409,164.156,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256,163.891,599.44
Apps_ENERGY,RAJA_HIP,block_256,625000, PASSED     ,0.00020919,601.025,164.324,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_256,164.324,601.025
Apps_ENERGY,Base_HIP,block_256,6667, PASSED     ,1.4427e-05,92.9625,25.4165,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_256,25.4165,92.9625
Apps_ENERGY,RAJA_HIP,block_256,6667, PASSED     ,9.1806e-06,146.088,39.9413,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_256,39.9413,146.088
Apps_ENERGY,Base_HIP,block_256,106667, PASSED     ,3.6801e-05,583.074,159.416,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256,159.416,583.074
Apps_ENERGY,RAJA_HIP,block_256,106667, PASSED     ,3.69218e-05,581.167,158.895,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256,158.895,581.167
Apps_ENERGY,Base_HIP,block_256,13334, PASSED     ,1.40577e-05,190.809,52.1685,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256,52.1685,190.809
Apps_ENERGY,RAJA_HIP,block_256,13334, PASSED     ,8.99906e-06,298.069,81.4941,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256,81.4941,298.069
Apps_ENERGY,Base_HIP,block_256,1667, PASSED     ,1.44019e-05,23.2847,6.36619,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256,15.891345,58.1236
Apps_ENERGY,RAJA_HIP,block_256,1667, PASSED     ,9.06084e-06,37.0102,10.1188,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256,25.03005,91.5491
Apps_ENERGY,Base_HIP,block_256,213334, PASSED     ,7.44425e-05,576.491,157.617,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256,163.891,599.44
Apps_ENERGY,RAJA_HIP,block_256,213334, PASSED     ,7.45001e-05,576.046,157.495,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256,164.324,601.025
Apps_ENERGY,Base_HIP,block_256,26667, PASSED     ,1.36691e-05,392.453,107.299,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256,107.299,392.453
Apps_ENERGY,RAJA_HIP,block_256,26667, PASSED     ,1.16554e-05,460.258,125.837,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/ENERGY_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256,125.837,460.258
Apps_FEMSWEEP,Base_HIP,block_64,395136, PASSED     ,0.00155185,42.0497,220.431,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,220.431,42.0497
Apps_FEMSWEEP,RAJA_HIP,block_64,395136, PASSED     ,0.00144865,45.0453,236.134,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,236.134,45.0453
Apps_FEMSWEEP,Base_HIP,block_64,73728, PASSED     ,0.000625873,18.4578,100.012,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,100.012,18.4578
Apps_FEMSWEEP,RAJA_HIP,block_64,73728, PASSED     ,0.000564053,20.4808,110.974,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,110.974,20.4808
