Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_EDGE3D,RAJA_CUDA,block_256,17576, PASSED     ,0.000290364,2.65177,1143.99,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_16-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1143.99,2.65177
Apps_EDGE3D,Base_Seq,default,343000, PASSED     ,0.556814,0.0213174,9.35308,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_256-kernel-run-data.csv,Seq,Base_Seq-default,9.35308,0.0213174
Apps_EDGE3D,Base_CUDA,block_256,343000, PASSED     ,0.00332675,3.568,1565.47,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_256-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1565.47,3.568
Apps_EDGE3D,RAJA_CUDA,block_256,343000, PASSED     ,0.0033393,3.55459,1559.59,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_256-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1559.59,3.55459
Apps_EDGE3D,Base_Seq,default,4410944, PASSED     ,6.63446,0.0211402,9.33091,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_3000-kernel-run-data.csv,Seq,Base_Seq-default,9.33091,0.0211735
Apps_EDGE3D,Base_CUDA,block_256,4410944, PASSED     ,0.0381953,3.67202,1620.76,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_3000-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1618.58,3.67155
Apps_EDGE3D,RAJA_CUDA,block_256,4410944, PASSED     ,0.0383327,3.65886,1614.96,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_3000-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1613.82,3.65886
Apps_EDGE3D,Base_Seq,default,35937, PASSED     ,0.0676711,0.021533,9.34143,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_32-kernel-run-data.csv,Seq,Base_Seq-default,9.35348,0.021533
Apps_EDGE3D,Base_CUDA,block_256,35937, PASSED     ,0.000532102,2.7385,1188.01,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_32-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1188.01,2.7385
Apps_EDGE3D,RAJA_CUDA,block_256,35937, PASSED     ,0.000531721,2.74046,1188.86,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_32-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1188.86,2.74046
