Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GB per sec.)
Apps_ENERGY,Base_HIP,block_256,106667, PASSED     ,3.82105e-05,561.567,153.536,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_256,154.238,
Apps_ENERGY,RAJA_HIP,block_256,106667, PASSED     ,3.81135e-05,562.996,153.927,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_256,158.146,
Apps_ENERGY,Base_HIP,block_256,13334, PASSED     ,1.34467e-05,199.48,54.5392,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_256,54.5392,
Apps_ENERGY,RAJA_HIP,block_256,13334, PASSED     ,8.57034e-06,312.98,85.5707,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_256,85.5707,
Apps_ENERGY,Base_HIP,block_256,1667, PASSED     ,1.43455e-05,23.3762,6.39119,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_256,16.521545,
Apps_ENERGY,RAJA_HIP,block_256,1667, PASSED     ,8.78704e-06,38.1634,10.4341,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_256,25.49025,
Apps_ENERGY,Base_HIP,block_256,213334, PASSED     ,7.6073e-05,564.135,154.238,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_256,161.032,
Apps_ENERGY,RAJA_HIP,block_256,213334, PASSED     ,7.61132e-05,563.838,154.157,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_256,160.141,
Apps_ENERGY,Base_HIP,block_256,26667, PASSED     ,1.33908e-05,400.611,109.53,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_256,109.53,
Apps_ENERGY,RAJA_HIP,block_256,26667, PASSED     ,9.27427e-06,578.427,158.146,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/ENERGY_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_256,153.927,
Apps_FEMSWEEP,Base_HIP,block_64,73728, PASSED     ,0.00011562,10.9264,64.5646,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,99.1616,
Apps_FEMSWEEP,RAJA_HIP,block_64,73728, PASSED     ,9.406e-05,13.4309,79.3638,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,108.051,
Apps_FEMSWEEP,Base_HIP,block_64,25288704, PASSED     ,0.0290564,18.5817,95.3946,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,96.713,
Apps_FEMSWEEP,RAJA_HIP,block_64,25288704, PASSED     ,0.0272447,19.8173,101.738,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,102.756,
Apps_FEMSWEEP,Base_HIP,block_64,4718592, PASSED     ,0.00527439,18.6258,97.1225,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,99.206,
Apps_FEMSWEEP,RAJA_HIP,block_64,4718592, PASSED     ,0.00465481,21.105,110.05,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,109.691,
Apps_FEMSWEEP,Base_HIP,block_64,37748736, PASSED     ,0.0439317,18.4214,94.3306,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,95.3946,
Apps_FEMSWEEP,RAJA_HIP,block_64,37748736, PASSED     ,0.0419877,19.2743,98.6981,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,101.738,
