Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,264196, PASSED     ,5.183e-06,2284.61,2752.57,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_256-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,264196, PASSED     ,5.18249e-06,2284.84,2752.84,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_256-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,3115225, PASSED     ,0.0195063,7.14469,8.62398,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_3000-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,3115225, PASSED     ,5.68055e-05,2453.4,2961.37,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_3000-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,3115225, PASSED     ,5.67381e-05,2456.31,2964.89,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_3000-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,32400, PASSED     ,0.000166317,8.77331,10.5197,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_32-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,32400, PASSED     ,2.99451e-06,487.276,584.269,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_32-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,32400, PASSED     ,3.01031e-06,484.718,581.203,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_32-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,3844, PASSED     ,1.97927e-05,8.87021,10.4875,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_4-kernel-run-data.csv,Seq,Base_Seq-default
Apps_DEL_DOT_VEC_2D,Base_CUDA,block_256,3844, PASSED     ,2.80222e-06,62.6523,74.0756,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_4-kernel-run-data.csv,CUDA,Base_CUDA-block_256
Apps_DEL_DOT_VEC_2D,RAJA_CUDA,block_256,3844, PASSED     ,2.80417e-06,62.6087,74.024,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_4-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256
Apps_DEL_DOT_VEC_2D,Base_Seq,default,528529, PASSED     ,0.00290632,8.14447,9.82016,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/DEL_DOT_VEC_2D_factor_512-kernel-run-data.csv,Seq,Base_Seq-default
